=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  041J4AK Bypass Left External Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041J4JH Bypass Left External Iliac Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041J4JJ Bypass Left External Iliac Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041J4JK Bypass Left External Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  041J4KH Bypass Left External Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041J4KJ Bypass Left External Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041J4KK Bypass Left External Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041J4ZH Bypass Left External Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
  041J4ZJ Bypass Left External Iliac Artery to Left Femoral Artery, Percutaneous Endoscopic Approach
  041J4ZK Bypass Left External Iliac Artery to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  041K09H Bypass Right Femoral Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
  041K09J Bypass Right Femoral Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
  041K09K Bypass Right Femoral Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
  041K09L Bypass Right Femoral Artery to Popliteal Artery with Autologous Venous Tissue, Open Approach
  041K0AH Bypass Right Femoral Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
  041K0AJ Bypass Right Femoral Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
  041K0AK Bypass Right Femoral Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
  041K0AL Bypass Right Femoral Artery to Popliteal Artery with Autologous Arterial Tissue, Open Approach
  041K0JH Bypass Right Femoral Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
  041K0JJ Bypass Right Femoral Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
  041K0JK Bypass Right Femoral Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
  041K0JL Bypass Right Femoral Artery to Popliteal Artery with Synthetic Substitute, Open Approach
  041K0KH Bypass Right Femoral Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041K0KJ Bypass Right Femoral Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041K0KK Bypass Right Femoral Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach
  041K0KL Bypass Right Femoral Artery to Popliteal Artery with Nonautologous Tissue Substitute, Open Approach
  041K0ZH Bypass Right Femoral Artery to Right Femoral Artery, Open Approach
  041K0ZJ Bypass Right Femoral Artery to Left Femoral Artery, Open Approach
  041K0ZK Bypass Right Femoral Artery to Bilateral Femoral Arteries, Open Approach
  041K0ZL Bypass Right Femoral Artery to Popliteal Artery, Open Approach
  041K49H Bypass Right Femoral Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041K49J Bypass Right Femoral Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041K49K Bypass Right Femoral Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041K49L Bypass Right Femoral Artery to Popliteal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041K4AH Bypass Right Femoral Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041K4AJ Bypass Right Femoral Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041K4AK Bypass Right Femoral Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041K4AL Bypass Right Femoral Artery to Popliteal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041K4JH Bypass Right Femoral Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041K4JJ Bypass Right Femoral Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041K4JK Bypass Right Femoral Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  041K4JL Bypass Right Femoral Artery to Popliteal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041K4KH Bypass Right Femoral Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041K4KJ Bypass Right Femoral Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041K4KK Bypass Right Femoral Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041K4KL Bypass Right Femoral Artery to Popliteal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041K4ZH Bypass Right Femoral Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
  041K4ZJ Bypass Right Femoral Artery to Left Femoral Artery, Percutaneous Endoscopic Approach
  041K4ZK Bypass Right Femoral Artery to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  041K4ZL Bypass Right Femoral Artery to Popliteal Artery, Percutaneous Endoscopic Approach
  041L09H Bypass Left Femoral Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
  041L09J Bypass Left Femoral Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
  041L09K Bypass Left Femoral Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
  041L09L Bypass Left Femoral Artery to Popliteal Artery with Autologous Venous Tissue, Open Approach
  041L0AH Bypass Left Femoral Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
  041L0AJ Bypass Left Femoral Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
  041L0AK Bypass Left Femoral Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
  041L0AL Bypass Left Femoral Artery to Popliteal Artery with Autologous Arterial Tissue, Open Approach
  041L0JH Bypass Left Femoral Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
  041L0JJ Bypass Left Femoral Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
  041L0JK Bypass Left Femoral Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
  041L0JL Bypass Left Femoral Artery to Popliteal Artery with Synthetic Substitute, Open Approach
  041L0KH Bypass Left Femoral Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041L0KJ Bypass Left Femoral Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach
  041L0KK Bypass Left Femoral Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach
  041L0KL Bypass Left Femoral Artery to Popliteal Artery with Nonautologous Tissue Substitute, Open Approach
  041L0ZH Bypass Left Femoral Artery to Right Femoral Artery, Open Approach
  041L0ZJ Bypass Left Femoral Artery to Left Femoral Artery, Open Approach
  041L0ZK Bypass Left Femoral Artery to Bilateral Femoral Arteries, Open Approach
  041L0ZL Bypass Left Femoral Artery to Popliteal Artery, Open Approach
  041L49H Bypass Left Femoral Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041L49J Bypass Left Femoral Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041L49K Bypass Left Femoral Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041L49L Bypass Left Femoral Artery to Popliteal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  041L4AH Bypass Left Femoral Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041L4AJ Bypass Left Femoral Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041L4AK Bypass Left Femoral Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041L4AL Bypass Left Femoral Artery to Popliteal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  041L4JH Bypass Left Femoral Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041L4JJ Bypass Left Femoral Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041L4JK Bypass Left Femoral Artery to Bilateral Femoral Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
  041L4JL Bypass Left Femoral Artery to Popliteal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  041L4KH Bypass Left Femoral Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041L4KJ Bypass Left Femoral Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041L4KK Bypass Left Femoral Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041L4KL Bypass Left Femoral Artery to Popliteal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  041L4ZH Bypass Left Femoral Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
  041L4ZJ Bypass Left Femoral Artery to Left Femoral Artery, Percutaneous Endoscopic Approach
  041L4ZK Bypass Left Femoral Artery to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach
  041L4ZL Bypass Left Femoral Artery to Popliteal Artery, Percutaneous Endoscopic Approach
  0470341 Dilation of Abdominal Aorta with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
  047034Z Dilation of Abdominal Aorta with Drug-eluting Intraluminal Device, Percutaneous Approach
  047035Z Dilation of Abdominal Aorta with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
  047036Z Dilation of Abdominal Aorta with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
  047037Z Dilation of Abdominal Aorta with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
  04703D1 Dilation of Abdominal Aorta with Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
  04703DZ Dilation of Abdominal Aorta with Intraluminal Device, Percutaneous Approach
  04703EZ Dilation of Abdominal Aorta with Two Intraluminal Devices, Percutaneous Approach
  04703FZ Dilation of Abdominal Aorta with Three Intraluminal Devices, Percutaneous Approach
  04703GZ Dilation of Abdominal Aorta with Four or More Intraluminal Devices, Percutaneous Approach
  04703Z1 Dilation of Abdominal Aorta using Drug-Coated Balloon, Percutaneous Approach
  04703ZZ Dilation of Abdominal Aorta, Percutaneous Approach
  0471341 Dilation of Celiac Artery with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
  047134Z Dilation of Celiac Artery with Drug-eluting Intraluminal Device, Percutaneous Approach
  047135Z Dilation of Celiac Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
  047136Z Dilation of Celiac Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
  047137Z Dilation of Celiac Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
  04713D1 Dilation of Celiac Artery with Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
  04713DZ Dilation of Celiac Artery with Intraluminal Device, Percutaneous Approach
  04713EZ Dilation of Celiac Artery with Two Intraluminal Devices, Percutaneous Approach
  04713FZ Dilation of Celiac Artery with Three Intraluminal Devices, Percutaneous Approach
  04713GZ Dilation of Celiac Artery with Four or More Intraluminal Devices, Percutaneous Approach
  04713Z1 Dilation of Celiac Artery using Drug-Coated Balloon, Percutaneous Approach
  04713ZZ Dilation of Celiac Artery, Percutaneous Approach
  0472341 Dilation of Gastric Artery with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
  047234Z Dilation of Gastric Artery with Drug-eluting Intraluminal Device, Percutaneous Approach
  047235Z Dilation of Gastric Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
  047236Z Dilation of Gastric Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
  047237Z Dilation of Gastric Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
  04723D1 Dilation of Gastric Artery with Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
  04723DZ Dilation of Gastric Artery with Intraluminal Device, Percutaneous Approach
  04723EZ Dilation of Gastric Artery with Two Intraluminal Devices, Percutaneous Approach
  04723FZ Dilation of Gastric Artery with Three Intraluminal Devices, Percutaneous Approach
  04723GZ Dilation of Gastric Artery with Four or More Intraluminal Devices, Percutaneous Approach
  04723Z1 Dilation of Gastric Artery using Drug-Coated Balloon, Percutaneous Approach
  04723ZZ Dilation of Gastric Artery, Percutaneous Approach
  0473341 Dilation of Hepatic Artery with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
  047334Z Dilation of Hepatic Artery with Drug-eluting Intraluminal Device, Percutaneous Approach
  047335Z Dilation of Hepatic Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
  047336Z Dilation of Hepatic Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
  047337Z Dilation of Hepatic Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
  04733D1 Dilation of Hepatic Artery with Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
  04733DZ Dilation of Hepatic Artery with Intraluminal Device, Percutaneous Approach
  04733EZ Dilation of Hepatic Artery with Two Intraluminal Devices, Percutaneous Approach
  04733FZ Dilation of Hepatic Artery with Three Intraluminal Devices, Percutaneous Approach
  04733GZ Dilation of Hepatic Artery with Four or More Intraluminal Devices, Percutaneous Approach
  04733Z1 Dilation of Hepatic Artery using Drug-Coated Balloon, Percutaneous Approach
  04733ZZ Dilation of Hepatic Artery, Percutaneous Approach
