:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  S95012A Laceration of dorsal artery of left foot, initial encounter
  S95019A Laceration of dorsal artery of unspecified foot, initial encounter
  S95091A Other specified injury of dorsal artery of right foot, initial encounter
  S95092A Other specified injury of dorsal artery of left foot, initial encounter
  S95099A Other specified injury of dorsal artery of unspecified foot, initial encounter
  S95101A Unspecified injury of plantar artery of right foot, initial encounter
  S95102A Unspecified injury of plantar artery of left foot, initial encounter
  S95109A Unspecified injury of plantar artery of unspecified foot, initial encounter
  S95111A Laceration of plantar artery of right foot, initial encounter
  S95112A Laceration of plantar artery of left foot, initial encounter
  S95119A Laceration of plantar artery of unspecified foot, initial encounter
  S95191A Other specified injury of plantar artery of right foot, initial encounter
  S95192A Other specified injury of plantar artery of left foot, initial encounter
  S95199A Other specified injury of plantar artery of unspecified foot, initial encounter
  S95201A Unspecified injury of dorsal vein of right foot, initial encounter
  S95202A Unspecified injury of dorsal vein of left foot, initial encounter
  S95209A Unspecified injury of dorsal vein of unspecified foot, initial encounter
  S95211A Laceration of dorsal vein of right foot, initial encounter
  S95212A Laceration of dorsal vein of left foot, initial encounter
  S95219A Laceration of dorsal vein of unspecified foot, initial encounter
  S95291A Other specified injury of dorsal vein of right foot, initial encounter
  S95292A Other specified injury of dorsal vein of left foot, initial encounter
  S95299A Other specified injury of dorsal vein of unspecified foot, initial encounter
  S95801A Unspecified injury of other blood vessels at ankle and foot level, right leg, initial encounter
  S95802A Unspecified injury of other blood vessels at ankle and foot level, left leg, initial encounter
  S95809A Unspecified injury of other blood vessels at ankle and foot level, unspecified leg, initial encounter
  S95811A Laceration of other blood vessels at ankle and foot level, right leg, initial encounter
  S95812A Laceration of other blood vessels at ankle and foot level, left leg, initial encounter
  S95819A Laceration of other blood vessels at ankle and foot level, unspecified leg, initial encounter
  S95891A Other specified injury of other blood vessels at ankle and foot level, right leg, initial encounter
  S95892A Other specified injury of other blood vessels at ankle and foot level, left leg, initial encounter
  S95899A Other specified injury of other blood vessels at ankle and foot level, unspecified leg, initial encounter
  S95901A Unspecified injury of unspecified blood vessel at ankle and foot level, right leg, initial encounter
  S95902A Unspecified injury of unspecified blood vessel at ankle and foot level, left leg, initial encounter
  S95909A Unspecified injury of unspecified blood vessel at ankle and foot level, unspecified leg, initial encounter
  S95911A Laceration of unspecified blood vessel at ankle and foot level, right leg, initial encounter
  S95912A Laceration of unspecified blood vessel at ankle and foot level, left leg, initial encounter
  S95919A Laceration of unspecified blood vessel at ankle and foot level, unspecified leg, initial encounter
  S95991A Other specified injury of unspecified blood vessel at ankle and foot level, right leg, initial encounter
  S95992A Other specified injury of unspecified blood vessel at ankle and foot level, left leg, initial encounter
  S95999A Other specified injury of unspecified blood vessel at ankle and foot level, unspecified leg, initial encounter
  S96001A Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot, initial encounter
  S96001S Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot, sequela
  S96002A Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot, initial encounter
  S96002S Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot, sequela
  S96009A Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot, initial encounter
  S96009S Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot, sequela
  S96091A Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot, initial encounter
  S96091S Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot, sequela
  S96092A Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot, initial encounter
  S96092S Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot, sequela
  S96099A Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot, initial encounter
  S96099S Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot, sequela
  S96101A Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot, initial encounter
  S96101S Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot, sequela
  S96102A Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot, initial encounter
  S96102S Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot, sequela
  S96109A Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot, initial encounter
  S96109S Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot, sequela
  S96191A Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot, initial encounter
  S96191S Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot, sequela
  S96192A Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot, initial encounter
  S96192S Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot, sequela
  S96199A Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot, initial encounter
  S96199S Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot, sequela
  S96201A Unspecified injury of intrinsic muscle and tendon at ankle and foot level, right foot, initial encounter
  S96201S Unspecified injury of intrinsic muscle and tendon at ankle and foot level, right foot, sequela
  S96202A Unspecified injury of intrinsic muscle and tendon at ankle and foot level, left foot, initial encounter
  S96202S Unspecified injury of intrinsic muscle and tendon at ankle and foot level, left foot, sequela
  S96209A Unspecified injury of intrinsic muscle and tendon at ankle and foot level, unspecified foot, initial encounter
  S96209S Unspecified injury of intrinsic muscle and tendon at ankle and foot level, unspecified foot, sequela
  S96291A Other specified injury of intrinsic muscle and tendon at ankle and foot level, right foot, initial encounter
